,pge_ecr,sce_ecr,sdge_ecr
614,0.0441,0.03715,0.03784
615,0.046,0.03877,0.03955
616,0.0521,0.04726,0.0483
617,0.0605,0.05961,0.06083
618,0.062,0.06141,0.06119
619,0.0647,0.07133,0.06385
620,0.0632,0.07045,0.06291
621,0.0615,0.06694,0.06151
622,0.0584,0.06259,0.05886
623,0.0564,0.0577,0.05736
624,0.0547,0.05594,0.05761
625,0.0523,0.05132,0.05314
626,0.0529,0.0513,0.05325
627,0.0513,0.05005,0.05198
628,0.0506,0.04871,0.05058
629,0.0509,0.0481,0.04995
630,0.0531,0.04889,0.05076
631,0.0556,0.05247,0.0543
632,0.0567,0.05244,0.05409
633,0.0544,0.04571,0.04632
634,0.0476,0.03693,0.03746
635,0.0455,0.03591,0.03639
636,0.0457,0.03794,0.03855
637,0.0444,0.03722,0.0378
638,0.0441,0.03715,0.03784
639,0.046,0.03877,0.03955
640,0.0521,0.04726,0.0483
641,0.0605,0.05961,0.06083
642,0.062,0.06141,0.06119
643,0.0647,0.07133,0.06385
644,0.0632,0.07045,0.06291
645,0.0615,0.06694,0.06151
646,0.0584,0.06259,0.05886
647,0.0564,0.0577,0.05736
648,0.0547,0.05594,0.05761
649,0.0523,0.05132,0.05314
650,0.0529,0.0513,0.05325
651,0.0513,0.05005,0.05198
652,0.0506,0.04871,0.05058
653,0.0509,0.0481,0.04995
654,0.0531,0.04889,0.05076
655,0.0556,0.05247,0.0543
656,0.0567,0.05244,0.05409
657,0.0544,0.04571,0.04632
658,0.0476,0.03693,0.03746
659,0.0455,0.03591,0.03639
660,0.0457,0.03794,0.03855
661,0.0444,0.03722,0.0378
662,0.0441,0.03715,0.03784
663,0.046,0.03877,0.03955
664,0.0521,0.04726,0.0483
665,0.0605,0.05961,0.06083
666,0.062,0.06141,0.06119
667,0.0647,0.07133,0.06385
668,0.0632,0.07045,0.06291
669,0.0615,0.06694,0.06151
670,0.0584,0.06259,0.05886
671,0.0564,0.0577,0.05736
672,0.0547,0.05594,0.05761
673,0.0523,0.05132,0.05314
674,0.0529,0.0513,0.05325
675,0.0513,0.05005,0.05198
676,0.0506,0.04871,0.05058
677,0.0509,0.0481,0.04995
678,0.0531,0.04889,0.05076
679,0.0556,0.05247,0.0543
680,0.0567,0.05244,0.05409
681,0.0544,0.04571,0.04632
682,0.0476,0.03693,0.03746
683,0.0455,0.03591,0.03639
684,0.0457,0.03794,0.03855
685,0.0444,0.03722,0.0378
686,0.0441,0.03715,0.03784
687,0.046,0.03877,0.03955
688,0.0521,0.04726,0.0483
689,0.0605,0.05961,0.06083
690,0.062,0.06141,0.06119
691,0.0647,0.07133,0.06385
692,0.0632,0.07045,0.06291
693,0.0615,0.06694,0.06151
694,0.0584,0.06259,0.05886
695,0.0564,0.0577,0.05736
696,0.0547,0.05594,0.05761
697,0.0523,0.05132,0.05314
698,0.0529,0.0513,0.05325
699,0.0513,0.05005,0.05198
700,0.0506,0.04871,0.05058
701,0.0509,0.0481,0.04995
702,0.0531,0.04889,0.05076
703,0.0556,0.05247,0.0543
704,0.0567,0.05244,0.05409
705,0.0544,0.04571,0.04632
706,0.0476,0.03693,0.03746
707,0.0455,0.03591,0.03639
708,0.0457,0.03794,0.03855
709,0.0444,0.03722,0.0378
710,0.0441,0.03715,0.03784
711,0.046,0.03877,0.03955
712,0.0521,0.04726,0.0483
713,0.0605,0.05961,0.06083
714,0.062,0.06141,0.06119
715,0.0647,0.07133,0.06385
716,0.0632,0.07045,0.06291
717,0.0615,0.06694,0.06151
718,0.0584,0.06259,0.05886
719,0.0564,0.0577,0.05736
720,0.0547,0.05594,0.05761
721,0.0523,0.05132,0.05314
722,0.0529,0.0513,0.05325
723,0.0513,0.05005,0.05198
724,0.0506,0.04871,0.05058
725,0.0509,0.0481,0.04995
726,0.0531,0.04889,0.05076
727,0.0556,0.05247,0.0543
728,0.0567,0.05244,0.05409
729,0.0544,0.04571,0.04632
730,0.0476,0.03693,0.03746
731,0.0455,0.03591,0.03639
732,0.0457,0.03794,0.03855
733,0.0444,0.03722,0.0378
734,0.0441,0.03715,0.03784
735,0.046,0.03877,0.03955
736,0.0521,0.04726,0.0483
737,0.0605,0.05961,0.06083
738,0.062,0.06141,0.06119
739,0.0647,0.07133,0.06385
740,0.0632,0.07045,0.06291
741,0.0615,0.06694,0.06151
742,0.0584,0.06259,0.05886
743,0.0564,0.0577,0.05736
744,0.0547,0.05594,0.05761
745,0.0559,0.0495,0.0513
746,0.0559,0.0482,0.0501
747,0.055,0.0468,0.0486
748,0.0547,0.0465,0.0483
749,0.0555,0.0468,0.0486
750,0.0566,0.0489,0.0508
751,0.0573,0.056,0.0579
752,0.0609,0.0568,0.0585
753,0.0495,0.0551,0.0556
754,0.0339,0.0505,0.0513
755,0.0283,0.0491,0.05
756,0.0296,0.048,0.0488
757,0.0287,0.0447,0.0456
758,0.0301,0.0454,0.0466
759,0.0321,0.0482,0.0493
760,0.0426,0.0542,0.0554
761,0.0628,0.0583,0.0595
762,0.0615,0.0618,0.0615
763,0.0631,0.0687,0.063
764,0.0631,0.0673,0.0615
765,0.062,0.0646,0.0604
766,0.0605,0.0595,0.0577
767,0.0586,0.0545,0.0551
768,0.0577,0.0519,0.0535
769,0.0559,0.0495,0.0513
770,0.0559,0.0482,0.0501
771,0.055,0.0468,0.0486
772,0.0547,0.0465,0.0483
773,0.0555,0.0468,0.0486
774,0.0566,0.0489,0.0508
775,0.0573,0.056,0.0579
776,0.0609,0.0568,0.0585
777,0.0495,0.0551,0.0556
778,0.0339,0.0505,0.0513
779,0.0283,0.0491,0.05
780,0.0296,0.048,0.0488
781,0.0287,0.0447,0.0456
782,0.0301,0.0454,0.0466
783,0.0321,0.0482,0.0493
784,0.0426,0.0542,0.0554
785,0.0628,0.0583,0.0595
786,0.0615,0.0618,0.0615
787,0.0631,0.0687,0.063
788,0.0631,0.0673,0.0615
789,0.062,0.0646,0.0604
790,0.0605,0.0595,0.0577
791,0.0586,0.0545,0.0551
792,0.0577,0.0519,0.0535
793,0.0559,0.0495,0.0513
794,0.0559,0.0482,0.0501
795,0.055,0.0468,0.0486
796,0.0547,0.0465,0.0483
797,0.0555,0.0468,0.0486
798,0.0566,0.0489,0.0508
